"from","to","weight"
"Albany","Captain",1
"Albany","Cordelia",1
"Albany","Edgar",2
"Albany","Edmund",3
"Albany","Fool",1
"Albany","Gentleman",1
"Albany","Goneril",4
"Albany","Herald",1
"Albany","Kent",2
"Albany","King Lear",2
"Albany","Knight",1
"Albany","Oswald",2
"Albany","Regan",2
"Albany","Messenger",1
"Burgundy","Cordelia",1
"Burgundy","Cornwall",1
"Burgundy","Edmund",1
"Burgundy","Gloucester",1
"Burgundy","Goneril",1
"Burgundy","Kent",1
"Burgundy","King Lear",1
"Burgundy","Lear",1
"Burgundy","Regan",1
"Burgundy","King Of France",1
"Captain","Cordelia",1
"Captain","Edgar",1
"Captain","Edmund",1
"Captain","Gentleman",1
"Captain","Goneril",1
"Captain","Herald",1
"Captain","Kent",1
"Captain","King Lear",1
"Captain","Regan",1
"Cordelia","Cornwall",1
"Cordelia","Doctor",2
"Cordelia","Edgar",2
"Cordelia","Edmund",2
"Cordelia","Gentleman",2
"Cordelia","Gloucester",1
"Cordelia","Goneril",2
"Cordelia","Herald",1
"Cordelia","Kent",3
"Cordelia","King Lear",3
"Cordelia","Lear",1
"Cordelia","Regan",2
"Cordelia","Messenger",1
"Cordelia","King Of France",1
"Cornwall","Curan",1
"Cornwall","Edgar",1
"Cornwall","Edmund",4
"Cornwall","First Servant",1
"Cornwall","Fool",1
"Cornwall","Gentleman",1
"Cornwall","Gloucester",5
"Cornwall","Goneril",3
"Cornwall","Kent",3
"Cornwall","King Lear",2
"Cornwall","Lear",1
"Cornwall","Oswald",2
"Cornwall","Regan",5
"Cornwall","Second Servant",1
"Cornwall","King Of France",1
"Cornwall","Third Servant",1
"Curan","Edgar",1
"Curan","Edmund",1
"Curan","Gloucester",1
"Curan","Regan",1
"Doctor","Edgar",1
"Doctor","Gentleman",1
"Doctor","Kent",1
"Doctor","King Lear",1
"Doctor","Messenger",1
"Edgar","Edmund",4
"Edgar","Fool",2
"Edgar","Gentleman",3
"Edgar","Gloucester",7
"Edgar","Goneril",2
"Edgar","Herald",1
"Edgar","Kent",4
"Edgar","King Lear",5
"Edgar","Old Man",1
"Edgar","Oswald",1
"Edgar","Regan",3
"Edmund","Gentleman",1
"Edmund","Gloucester",5
"Edmund","Goneril",4
"Edmund","Herald",1
"Edmund","Kent",3
"Edmund","King Lear",2
"Edmund","Lear",1
"Edmund","Oswald",2
"Edmund","Regan",5
"Edmund","Messenger",1
"Edmund","King Of France",1
"First Servant","Gloucester",1
"First Servant","Goneril",1
"First Servant","Oswald",1
"First Servant","Regan",1
"First Servant","Second Servant",1
"First Servant","Third Servant",1
"Fool","Gentleman",2
"Fool","Gloucester",3
"Fool","Goneril",2
"Fool","Kent",6
"Fool","King Lear",6
"Fool","Knight",1
"Fool","Oswald",1
"Fool","Regan",1
"Gentleman","Gloucester",2
"Gentleman","Goneril",2
"Gentleman","Herald",1
"Gentleman","Kent",6
"Gentleman","King Lear",5
"Gentleman","Oswald",1
"Gentleman","Regan",2
"Gloucester","Goneril",3
"Gloucester","Kent",5
"Gloucester","King Lear",5
"Gloucester","Lear",1
"Gloucester","Old Man",1
"Gloucester","Oswald",3
"Gloucester","Regan",5
"Gloucester","Second Servant",1
"Gloucester","King Of France",1
"Gloucester","Third Servant",1
"Goneril","Herald",1
"Goneril","Kent",4
"Goneril","King Lear",4
"Goneril","Knight",1
"Goneril","Lear",1
"Goneril","Oswald",4
"Goneril","Regan",5
"Goneril","Second Servant",1
"Goneril","Messenger",1
"Goneril","King Of France",1
"Goneril","Third Servant",1
"Herald","Kent",1
"Herald","King Lear",1
"Herald","Regan",1
"Kent","King Lear",9
"Kent","Knight",1
"Kent","Lear",1
"Kent","Oswald",2
"Kent","Regan",4
"Kent","King Of France",1
"King Lear","Knight",1
"King Lear","Lear",1
"King Lear","Oswald",2
"King Lear","Regan",3
"King Lear","King Of France",1
"Knight","Oswald",1
"Lear","Regan",1
"Lear","King Of France",1
"Oswald","Regan",3
"Oswald","Second Servant",1
"Oswald","Messenger",1
"Oswald","Third Servant",1
"Regan","Second Servant",1
"Regan","King Of France",1
"Regan","Third Servant",1
"Second Servant","Third Servant",1
